seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
2,2000,20000,3,0.9,20000,2,2,set,24.6854,2000,2000,20000
2,2000,20000,3,1,20000,0,0,set,23.28125,0,0,20000
2,2000,20000,3,1,20000,0,1,filtered_set,16.7021,0,0,369
2,2000,20000,3,1,20000,0,2,bloom,15.35625,369,0,0
2,2000,20000,3,1,20000,1,0,set,22.70835,0,0,20000
2,2000,20000,3,1,20000,1,1,bloom,15.1583,369,0,0
2,2000,20000,3,1,20000,1,2,filtered_set,16.0021,0,0,369
2,2000,20000,3,1,20000,2,0,set,22.4292,0,0,20000
2,2000,20000,3,1,20000,2,1,filtered_set,15.79585,0,0,369
2,2000,20000,3,1,20000,2,2,bloom,14.48335,369,0,0
2,2000,20000,7,0,20000,0,0,bloom,23.52085,20000,20000,0
2,2000,20000,7,0,20000,0,1,set,15.46665,20000,20000,20000
2,2000,20000,7,0,20000,0,2,filtered_set,37.45,20000,20000,20000
2,2000,20000,7,0,20000,1,0,set,14.98125,20000,20000,20000
2,2000,20000,7,0,20000,1,1,bloom,23.475,20000,20000,0
2,2000,20000,7,0,20000,1,2,filtered_set,37.19375,20000,20000,20000
2,2000,20000,7,0,20000,2,0,bloom,23.54585,20000,20000,0
2,2000,20000,7,0,20000,2,1,filtered_set,37.3604,20000,20000,20000
