seed,n,m,k,negative_fraction,queries,repeat,order,method,ns_per_query,returned_positive,expected_exact_positive,backend_lookups
1,20000,200000,7,0.9,200000,5,2,filtered_set,53.86229,20000,20000,21497
1,20000,200000,7,0.9,200000,6,0,bloom,54.732915,21497,20000,0
1,20000,200000,7,0.9,200000,6,1,filtered_set,48.518335,20000,20000,21497
1,20000,200000,7,0.9,200000,6,2,set,31.182705,20000,20000,200000
1,20000,200000,7,1,200000,0,0,set,29.249375,0,0,200000
1,20000,200000,7,1,200000,0,1,filtered_set,41.569165,0,0,1672
1,20000,200000,7,1,200000,0,2,bloom,38.86375,1672,0,0
1,20000,200000,7,1,200000,1,0,filtered_set,40.33521,0,0,1672
1,20000,200000,7,1,200000,1,1,bloom,39.66521,1672,0,0
1,20000,200000,7,1,200000,1,2,set,28.144585,0,0,200000
1,20000,200000,7,1,200000,2,0,bloom,38.666875,1672,0,0
1,20000,200000,7,1,200000,2,1,filtered_set,40.295,0,0,1672
1,20000,200000,7,1,200000,2,2,set,27.90917,0,0,200000
1,20000,200000,7,1,200000,3,0,bloom,39.45417,1672,0,0
1,20000,200000,7,1,200000,3,1,filtered_set,40.21104,0,0,1672
1,20000,200000,7,1,200000,3,2,set,32.14854,0,0,200000
1,20000,200000,7,1,200000,4,0,set,30.210625,0,0,200000
1,20000,200000,7,1,200000,4,1,bloom,39.231875,1672,0,0
1,20000,200000,7,1,200000,4,2,filtered_set,41.14083,0,0,1672
1,20000,200000,7,1,200000,5,0,bloom,38.46083,1672,0,0
1,20000,200000,7,1,200000,5,1,filtered_set,40.26625,0,0,1672
1,20000,200000,7,1,200000,5,2,set,27.92396,0,0,200000
1,20000,200000,7,1,200000,6,0,set,29.525415,0,0,200000
1,20000,200000,7,1,200000,6,1,filtered_set,40.71771,0,0,1672
1,20000,200000,7,1,200000,6,2,bloom,39.13417,1672,0,0
1,20000,200000,11,0,200000,0,0,filtered_set,62.791665,200000,200000,200000
1,20000,200000,11,0,200000,0,1,bloom,36.839375,200000,200000,0
1,20000,200000,11,0,200000,0,2,set,18.786875,200000,200000,200000
1,20000,200000,11,0,200000,1,0,set,18.77479,200000,200000,200000
1,20000,200000,11,0,200000,1,1,bloom,37.02375,200000,200000,0
